timestamp,episode,use_capital_env,equity,total_profit,total_return_pct,num_trades,win_rate,sharpe,epsilon
2025-08-15T18:38:47.176045,1,1,1507.0052596823743,507.00525968237434,50.70052596823744,61,50.81967213114754,0.11692972418670863,0.997
2025-08-15T18:43:48.963542,1,1,1313.3869545268603,313.38695452686034,31.33869545268604,48,58.333333333333336,0.16346576350178366,0.997
2025-08-15T18:44:18.255903,2,1,1224.260991014108,224.26099101410796,22.426099101410802,48,54.166666666666664,0.10950235236325997,0.994009
2025-08-15T18:44:31.334496,3,1,1154.1036441484155,154.10364414841547,15.410364414841538,49,55.10204081632652,0.07740185300100388,0.991026973
2025-08-15T18:44:46.042573,4,1,1426.251858987708,426.2518589877079,42.6251858987708,46,58.69565217391305,0.2388961270277259,0.988053892081
2025-08-15T18:45:17.652159,5,1,1360.3911505666413,360.3911505666413,36.03911505666413,59,45.76271186440678,0.13211680255554792,0.985089730404757
2025-08-15T18:46:02.307010,6,1,1098.0710678508372,98.07106785083715,9.807106785083718,48,56.25,0.059352080615107904,0.9821344612135428
2025-08-15T18:46:51.336321,7,1,1976.1767624744152,976.1767624744152,97.61767624744154,52,63.46153846153846,0.3498214904025503,0.9791880578299021
2025-08-15T18:47:55.279119,8,1,1155.52595793771,155.52595793771002,15.552595793770996,45,60.0,0.11145908875673669,0.9762504936564125
2025-08-15T18:48:35.424727,9,1,1522.5497460300753,522.5497460300753,52.25497460300752,52,61.53846153846154,0.17272653286376918,0.9733217421754432
2025-08-15T18:49:17.189074,10,1,1142.2426188464558,142.2426188464558,14.224261884645584,46,34.78260869565217,0.06051982724652167,0.9704017769489168
2025-08-15T18:52:14.846822,1,1,1497.6106940514726,497.6106940514726,49.76106940514726,49,46.93877551020408,0.20925385814547223,0.997
2025-08-15T18:52:50.860343,2,1,1182.7507234442733,182.75072344427326,18.275072344427336,45,57.77777777777777,0.1368802863428674,0.994009
2025-08-15T18:53:30.778317,3,1,963.3096975041774,-36.69030249582261,-3.6690302495822613,51,50.98039215686274,-0.018985724525819883,0.991026973
2025-08-15T18:54:17.540833,4,1,1820.3963919797402,820.3963919797402,82.03963919797401,55,58.18181818181818,0.3169971262890758,0.988053892081
2025-08-15T18:54:59.152815,5,1,1965.2199095948451,965.2199095948451,96.5219909594845,51,62.745098039215684,0.38479850384018555,0.985089730404757
2025-08-15T18:55:41.612537,6,1,1144.3930706296132,144.39307062961325,14.439307062961326,48,54.166666666666664,0.07747175312752222,0.9821344612135428
2025-08-15T18:55:57.509533,7,1,1920.7783885786043,920.7783885786043,92.07783885786043,53,60.37735849056604,0.3248305974146591,0.9791880578299021
2025-08-15T18:56:41.439358,8,1,1296.1334518102517,296.1334518102517,29.613345181025164,48,64.58333333333334,0.17153718852464842,0.9762504936564125
2025-08-15T18:57:20.315768,9,1,1772.263873310692,772.2638733106919,77.22638733106919,48,60.416666666666664,0.30621535578136433,0.9733217421754432
