date,Multi_Asset,Single_Asset
2024-10-11 00:00:00+00:00,20.0,
2024-10-12 00:00:00+00:00,20.0,
2024-10-13 00:00:00+00:00,20.0,
2024-10-14 00:00:00+00:00,20.0,
2024-10-15 00:00:00+00:00,20.0,
2024-10-16 00:00:00+00:00,20.0,
2024-10-17 00:00:00+00:00,20.0,
2024-10-18 00:00:00+00:00,20.0,
2024-10-19 00:00:00+00:00,20.0,
2024-10-20 00:00:00+00:00,20.0,
2024-10-21 00:00:00+00:00,20.0,
2024-10-22 00:00:00+00:00,20.0,
2024-10-23 00:00:00+00:00,20.0,
2024-10-24 00:00:00+00:00,20.0,
2024-10-25 00:00:00+00:00,20.53486704472728,22.64162584590936
2024-10-26 00:00:00+00:00,19.985320397978445,22.10113131132164
2024-10-27 00:00:00+00:00,20.14302297646504,22.24468671129048
2024-10-28 00:00:00+00:00,20.104132254604156,22.550182503960198
2024-10-29 00:00:00+00:00,20.29191593513153,23.183071591945335
2024-10-30 00:00:00+00:00,21.121341731528858,24.157525927298423
2024-10-31 00:00:00+00:00,21.145048361102063,24.011981757960417
2024-11-01 00:00:00+00:00,20.73882251787748,23.32237614310734
2024-11-02 00:00:00+00:00,20.741216113262215,23.07108768189983
2024-11-03 00:00:00+00:00,20.54937133063143,23.001795279348848
2024-11-04 00:00:00+00:00,20.610475383243234,22.837277640545604
2024-11-05 00:00:00+00:00,20.3205474527239,22.501968994596528
2024-11-06 00:00:00+00:00,20.751805073209944,23.01383242210184
2024-11-07 00:00:00+00:00,21.838132280941796,25.100104113888907
2024-11-08 00:00:00+00:00,19.683980274063437,25.2217049973403
2024-11-09 00:00:00+00:00,19.72396993773141,25.408502948559253
2024-11-10 00:00:00+00:00,19.713144014974077,25.43512458958802
2024-11-11 00:00:00+00:00,19.950539396028528,26.70853342297841
2024-11-12 00:00:00+00:00,20.430528272577302,29.420555432515567
2024-11-13 00:00:00+00:00,20.432239083910062,29.296808836001286
2024-11-14 00:00:00+00:00,20.54704391377953,30.034833641840372
2024-11-15 00:00:00+00:00,20.38421490121652,29.01232429380858
2024-11-16 00:00:00+00:00,20.584409727944774,30.187475477551704
2024-11-17 00:00:00+00:00,20.568848368749002,30.07411800399718
2024-11-18 00:00:00+00:00,20.52624056218047,29.82020466404615
2024-11-19 00:00:00+00:00,20.569355977059203,30.050276073089286
2024-11-20 00:00:00+00:00,20.656948181238626,30.620192389328313
2024-11-21 00:00:00+00:00,20.777112028287576,31.272538472522143
2024-11-22 00:00:00+00:00,27.13249372388221,32.69717218765955
2024-11-23 00:00:00+00:00,28.85141057522429,32.83603977573981
2024-11-24 00:00:00+00:00,29.130997957078804,32.421792959734084
2024-11-25 00:00:00+00:00,28.715550554724544,32.533474737804504
2024-11-26 00:00:00+00:00,27.30278478124038,30.87014445057518
2024-11-27 00:00:00+00:00,27.813091966709916,30.51403710948208
2024-11-28 00:00:00+00:00,28.563412084550272,31.85809834488692
2024-11-29 00:00:00+00:00,28.73751442952433,31.75202173695903
2024-11-30 00:00:00+00:00,29.36945483545535,32.346707129910115
2024-12-01 00:00:00+00:00,29.32234402415046,32.03466723514982
2024-12-02 00:00:00+00:00,29.99293132924135,32.29972708520428
2024-12-03 00:00:00+00:00,30.294933217234743,31.80895942847716
2024-12-04 00:00:00+00:00,30.855779181511863,31.87484385656061
2024-12-05 00:00:00+00:00,30.775467046890547,32.820762983379076
2024-12-06 00:00:00+00:00,33.112550121740966,59.29184700433744
2024-12-07 00:00:00+00:00,34.04541834730009,62.24250784203962
2024-12-08 00:00:00+00:00,34.0741509691332,63.155535468151164
2024-12-09 00:00:00+00:00,33.83243721087363,62.358751363578804
2024-12-10 00:00:00+00:00,30.82848808678009,51.87610270155605
2024-12-11 00:00:00+00:00,31.338241043299423,54.58739890440966
2024-12-12 00:00:00+00:00,31.84915653867363,54.816472091484854
2024-12-13 00:00:00+00:00,31.856152376272806,53.45466690321326
2024-12-14 00:00:00+00:00,32.044317594559814,54.84193395845732
2024-12-15 00:00:00+00:00,31.433283394688175,53.424637983119005
2024-12-16 00:00:00+00:00,31.894119510008167,54.368824144314075
2024-12-17 00:00:00+00:00,31.472839587941742,52.8490063813972
2024-12-18 00:00:00+00:00,31.446805833280603,53.93081021886384
2024-12-19 00:00:00+00:00,30.236489406962914,49.85901889342934
2024-12-20 00:00:00+00:00,30.60672463857336,59.19316421453177
2024-12-21 00:00:00+00:00,30.650786797114304,59.684430902082056
2024-12-22 00:00:00+00:00,30.507713282692478,58.70281434744254
2024-12-23 00:00:00+00:00,30.251713184028834,57.6978134338249
2024-12-24 00:00:00+00:00,30.387219188575642,59.1827861339845
2024-12-25 00:00:00+00:00,30.875839101515616,61.08500758719469
2024-12-26 00:00:00+00:00,30.831475589641936,60.29316322738254
2024-12-27 00:00:00+00:00,30.161616305078603,56.53680880572838
2024-12-28 00:00:00+00:00,30.03328145305119,56.20913055750103
2024-12-29 00:00:00+00:00,30.20667374704383,57.24016445453924
2024-12-30 00:00:00+00:00,29.85295943740885,55.004026854152
2024-12-31 00:00:00+00:00,29.668074051725092,53.98195062428334
2025-01-01 00:00:00+00:00,29.794396917098137,54.575199788546
2025-01-02 00:00:00+00:00,30.546396824592726,60.764550328105464
2025-01-03 00:00:00+00:00,29.851450357769217,58.47159567276917
2025-01-04 00:00:00+00:00,29.851531113746134,59.215497253995586
2025-01-05 00:00:00+00:00,29.86234360758317,59.319576183766685
2025-01-06 00:00:00+00:00,29.855240465374056,59.384687826458595
2025-01-07 00:00:00+00:00,29.858422703274126,61.7179486431254
