date,coin,side,price,qty,value
2025-04-24 00:00:00+00:00,bitcoin,BUY,93605.45230873208,7.122092252359919e-05,6.666666666666667
2025-07-17 00:00:00+00:00,bitcoin,SELL,118748.1627367753,7.122092252359919e-05,8.457353698095622
2025-07-17 00:00:00+00:00,ethereum,BUY,3368.126521526108,0.0008369988126478862,2.8191178993652075
