date,coin,side,price,qty,value,fee
2024-10-11 00:00:00+00:00,bitcoin,BUY,60195.18073772453,0.0003319202593153519,20.0,0.02
2024-11-22 00:00:00+00:00,bitcoin,SELL,98509.11859102432,0.0003319202593153519,32.664475015471886,0.032697172187659544
2024-11-22 00:00:00+00:00,ripple,BUY,1.2323909552423495,26.478456695618455,32.664475015471886,0.032664475015471886
2024-12-20 00:00:00+00:00,ripple,SELL,2.255279457563669,26.478456695618455,59.656603134163866,0.05971631945361749
2024-12-20 00:00:00+00:00,bitcoin,BUY,97851.35377075805,0.0006090559224213787,59.656603134163866,0.05965660313416387
2025-01-17 00:00:00+00:00,bitcoin,SELL,100044.57926776377,0.0006090559224213787,60.87181076567742,0.0609327435091866
2025-01-17 00:00:00+00:00,ripple,BUY,3.2435591355149156,18.748213432914024,60.87181076567742,0.060871810765677416
2025-01-31 00:00:00+00:00,ripple,SELL,3.1319365812312867,18.748213432914024,58.65949726779196,0.058718215483275236
2025-01-31 00:00:00+00:00,bitcoin,BUY,104781.5135100103,0.0005592669528000828,58.65949726779196,0.05865949726779197
2025-04-25 00:00:00+00:00,bitcoin,SELL,93872.81422867288,0.0005592669528000828,52.447462801673694,0.052499962764438135
2025-04-25 00:00:00+00:00,official-trump,BUY,12.224078751330627,4.286213824757033,52.447462801673694,0.05244746280167369
2025-05-09 00:00:00+00:00,official-trump,SELL,12.516981700951103,4.286213824757033,53.596809550836575,0.053650460010847424
2025-05-09 00:00:00+00:00,ethereum,BUY,2197.5611893238784,0.024364833617105938,53.596809550836575,0.05359680955083657
2025-05-23 00:00:00+00:00,ethereum,SELL,2657.1674447566115,0.024364833617105938,64.6767012416011,0.06474144268428537
2025-05-23 00:00:00+00:00,bitcoin,BUY,111560.356938144,0.0005791665275522955,64.6767012416011,0.06467670124160109
2025-07-04 00:00:00+00:00,bitcoin,SELL,109602.20483914016,0.0005791665275522955,63.41445046037145,0.06347792838876021
2025-07-04 00:00:00+00:00,pudgy-penguins,BUY,0.016873312404091078,3754.51093968669,63.41445046037145,0.06341445046037145
2025-07-18 00:00:00+00:00,pudgy-penguins,SELL,0.03032991982646895,3754.51093968669,113.76014177250961,0.11387401578829791
2025-07-18 00:00:00+00:00,bonk,BUY,3.52599115826533e-05,3223104.554994044,113.76014177250961,0.11376014177250962
2025-08-01 00:00:00+00:00,bonk,SELL,2.612265032576899e-05,3223104.554994044,84.11183722024917,0.08419603325350268
2025-08-01 00:00:00+00:00,ethereum,BUY,3696.6628530851194,0.022730697583876767,84.11183722024917,0.08411183722024917
