date,coin,side,price,qty,value,fee
2024-10-11 00:00:00+00:00,bitcoin,BUY,60195.18073772453,6.64505023654358e-05,4.0,0.004
2024-10-11 00:00:00+00:00,first-digital-usd,BUY,0.9984442287043472,4.006232781965886,4.0,0.004
2024-10-11 00:00:00+00:00,sui,BUY,1.8314947951540053,2.1840083906237098,4.0,0.004
2024-10-11 00:00:00+00:00,uniswap,BUY,8.102545328618918,0.4936720299325745,4.0,0.004
2024-10-14 00:00:00+00:00,uniswap,SELL,7.673108318643471,0.4936720299325745,3.7842109605976884,0.0037879989595572456
2024-10-25 00:00:00+00:00,sui,SELL,1.934664218082024,2.1840083906237098,4.2210975624452685,0.0042253228853306
2024-10-25 00:00:00+00:00,bitcoin,SELL,68214.05205157402,6.2557445277998705e-06,0.42630295315784905,0.00042672968284068974
2024-10-25 00:00:00+00:00,dogecoin,BUY,0.1421233225388425,28.89130560007968,4.106128344368391,0.004106128344368391
2024-10-25 00:00:00+00:00,aptos,BUY,10.199268525077587,0.40259047345134535,4.106128344368391,0.004106128344368391
2024-10-25 00:00:00+00:00,ethena,BUY,0.3908207800489398,10.5064227747926,4.106128344368391,0.004106128344368391
2024-10-26 00:00:00+00:00,dogecoin,SELL,0.13052166779612556,28.89130560007968,3.767170450338212,0.003770941391729942
2024-10-26 00:00:00+00:00,aptos,SELL,8.891788017999218,0.40259047345134535,3.5761693988473096,0.003579749147995305
2024-10-26 00:00:00+00:00,ethena,SELL,0.3503044050180046,10.5064227747926,3.6767657328123433,0.0036804461789913348
2024-11-08 00:00:00+00:00,bitcoin,SELL,75987.24178320667,8.386112564730041e-06,0.6366003255142517,0.000637237563077329
2024-11-08 00:00:00+00:00,sui,BUY,2.3162366496307025,1.6996519139960784,3.9367960548126875,0.003936796054812688
2024-11-08 00:00:00+00:00,cardano,BUY,0.4037781986603935,9.749897512727813,3.9367960548126875,0.003936796054812688
2024-11-22 00:00:00+00:00,first-digital-usd,SELL,0.9985992022107957,4.006232781965886,3.9966202390819285,0.00400062085994187
2024-11-22 00:00:00+00:00,sui,SELL,3.6425492771812746,1.6996519139960784,6.184874784935399,0.006191065850786185
2024-11-22 00:00:00+00:00,stellar,BUY,0.2595253423459623,20.90146711068847,5.424460407434297,0.005424460407434297
2024-11-22 00:00:00+00:00,bonk,BUY,5.368760917303322e-05,101037.4738415238,5.424460407434297,0.005424460407434297
2024-11-22 00:00:00+00:00,cardano,SELL,0.8181660122757234,3.1198733782050456,2.5500217862905608,0.0025525743606512117
2024-11-22 00:00:00+00:00,bitcoin,BUY,98509.11859102432,3.2569210931355505e-06,0.3208364262052985,0.0003208364262052985
2024-11-23 00:00:00+00:00,bonk,SELL,4.950540457375299e-05,101037.4738415238,4.996899118614985,0.005001901019634621
2024-11-26 00:00:00+00:00,bitcoin,SELL,93004.70093103287,5.506556636604144e-05,5.116235174940155,0.005121356531471628
2024-12-06 00:00:00+00:00,cardano,SELL,1.166279100460039,6.630024134522767,7.724726125055922,0.007732458583639561
2024-12-06 00:00:00+00:00,stellar,SELL,0.4715563322190663,20.90146711068847,9.846362949544984,0.009856219168713699
2024-12-06 00:00:00+00:00,ripple,BUY,2.254523485462072,2.9358719620705735,6.618992288797722,0.0066189922887977225
2024-12-06 00:00:00+00:00,tron,BUY,0.3227604152470211,20.507447555896686,6.618992288797722,0.0066189922887977225
2024-12-06 00:00:00+00:00,litecoin,BUY,136.50322434223267,0.04848964059781462,6.618992288797722,0.0066189922887977225
2024-12-06 00:00:00+00:00,bitcoin,BUY,97201.50036407741,6.80955773728354e-05,6.618992288797722,0.0066189922887977225
2024-12-10 00:00:00+00:00,tron,SELL,0.2619508553422545,20.507447555896686,5.36657148472541,0.0053719434281535635
2024-12-10 00:00:00+00:00,litecoin,SELL,110.7153849650254,0.04848964059781462,5.3631806763771666,0.005368549225602769
2024-12-20 00:00:00+00:00,bitcoin,SELL,97851.35377075805,5.5379867844057725e-06,0.5413576045146534,0.000541899504018672
2024-12-20 00:00:00+00:00,ripple,SELL,2.255279457563669,0.2216429528073786,0.4993669315818545,0.0004998667983802347
2024-12-20 00:00:00+00:00,first-digital-usd,BUY,0.9976908986569083,6.135512447748324,6.121344927714673,0.006121344927714673
2024-12-20 00:00:00+00:00,binancecoin,BUY,669.0228793928828,0.00914967950463757,6.121344927714673,0.006121344927714673
2024-12-23 00:00:00+00:00,binancecoin,SELL,648.5721398402843,0.00914967950463757,5.928292987960406,0.005934227215175582
2024-12-27 00:00:00+00:00,ripple,SELL,2.154071423410433,2.714229009263195,5.840796502300015,0.005846643145445461
2024-12-30 00:00:00+00:00,bitcoin,SELL,93663.44751964067,6.255759058842963e-05,5.853500243431512,0.0058593596030345465
2025-01-03 00:00:00+00:00,bitcoin,BUY,96852.14681235075,6.16433426418639e-05,5.970290071553844,0.005970290071553844
2025-01-03 00:00:00+00:00,ripple,BUY,2.40463192614464,2.482829079428403,5.970290071553844,0.005970290071553844
2025-01-03 00:00:00+00:00,pepe,BUY,2.0467303239204464e-05,291698.91127219656,5.970290071553844,0.005970290071553844
2025-01-08 00:00:00+00:00,ripple,SELL,2.277173382256464,2.482829079428403,5.6481784600743135,0.00565383229236668
2025-01-08 00:00:00+00:00,pepe,SELL,1.86501292212317e-05,291698.91127219656,5.434782166530147,0.005440222388919066
2025-01-10 00:00:00+00:00,bitcoin,SELL,92376.27578346101,6.16433426418639e-05,5.6886880376791025,0.0056943824200992015
2025-01-17 00:00:00+00:00,ripple,BUY,3.2435591355149156,1.77019908107151,5.741745401089605,0.0057417454010896055
2025-01-17 00:00:00+00:00,bitcoin,BUY,100044.57926776377,5.7391869135879335e-05,5.741745401089605,0.0057417454010896055
2025-01-17 00:00:00+00:00,first-digital-usd,SELL,0.9999505783813455,0.39348326628220953,0.3930703558825741,0.0003934638197022764
2025-01-17 00:00:00+00:00,sui,BUY,4.7577921469814655,1.2068087935981817,5.741745401089605,0.0057417454010896055
2025-01-20 00:00:00+00:00,ripple,SELL,2.9594983276278826,1.77019908107151,5.233662318779549,0.005238901219999549
2025-01-20 00:00:00+00:00,sui,SELL,4.502742550109692,1.2068087935981817,5.4285153554762955,0.005433949304781077
2025-01-31 00:00:00+00:00,bitcoin,SELL,104781.5135100103,3.6954628511155582e-06,0.3868289744692462,0.0003872161906599061
2025-01-31 00:00:00+00:00,solana,BUY,239.04719726337646,0.023536735778445277,5.626390720565978,0.005626390720565979
2025-01-31 00:00:00+00:00,ripple,BUY,3.1319365812312867,1.7964574232706922,5.626390720565978,0.005626390720565979
2025-02-01 00:00:00+00:00,solana,SELL,231.50782299297455,0.023536735778445277,5.443489521968291,0.00544893846042872
2025-02-01 00:00:00+00:00,ripple,SELL,3.0378089439522897,1.7964574232706922,5.451837133413352,0.005457294427841193
2025-02-06 00:00:00+00:00,bitcoin,SELL,96582.88682919052,5.3696406284763776e-05,5.1809677774042395,0.005186153931335575
2025-02-14 00:00:00+00:00,bitcoin,BUY,96561.6639990985,5.659739051486921e-05,5.465138206122565,0.005465138206122565
2025-02-14 00:00:00+00:00,litecoin,BUY,126.03039210817782,0.0433636531213168,5.465138206122565,0.005465138206122565
2025-02-14 00:00:00+00:00,binancecoin,BUY,669.9136528267184,0.008157974065855009,5.465138206122565,0.005465138206122565
2025-02-14 00:00:00+00:00,first-digital-usd,SELL,0.9996984148280887,0.27524227347410063,0.27488410522125195,0.0002751592644857377
2025-02-19 00:00:00+00:00,binancecoin,SELL,647.7337603591404,0.008157974065855009,5.278911023370022,0.005284195218588611
2025-02-25 00:00:00+00:00,bitcoin,SELL,91396.76686930266,5.659739051486921e-05,5.167645687792085,0.0051728185062983835
2025-02-25 00:00:00+00:00,litecoin,SELL,113.9332495540523,0.0433636531213168,4.935621350733699,0.004940561912646346
2025-02-28 00:00:00+00:00,bitcoin,BUY,84709.14477847965,6.21167539059448e-05,5.2618570997878695,0.00526185709978787
2025-02-28 00:00:00+00:00,litecoin,BUY,126.70031771605727,0.04152994400203475,5.2618570997878695,0.00526185709978787
2025-02-28 00:00:00+00:00,binancecoin,BUY,605.3106534011248,0.008692820901503221,5.2618570997878695,0.00526185709978787
2025-03-04 00:00:00+00:00,litecoin,SELL,110.09765258595738,0.04152994400203475,4.567776997303636,0.0045723493466502865
2025-03-04 00:00:00+00:00,binancecoin,SELL,574.3332822956445,0.008692820901503221,4.98758378440776,0.004992576360768528
2025-03-10 00:00:00+00:00,bitcoin,SELL,80751.13893300897,6.21167539059448e-05,5.01098262610175,0.005015998624726477
2025-03-14 00:00:00+00:00,bitcoin,BUY,81098.90052436228,6.178420889938159e-05,5.010631411507366,0.005010631411507366
2025-03-14 00:00:00+00:00,first-digital-usd,SELL,0.9983057540202751,0.4476518470860121,0.44644652132902646,0.0004468934147437702
2025-03-14 00:00:00+00:00,binancecoin,BUY,578.7156213732173,0.008658192774575163,5.010631411507366,0.005010631411507366
2025-03-14 00:00:00+00:00,tron,BUY,0.22514568990315095,22.255062549333047,5.010631411507366,0.005010631411507366
