date,equity,cash,positions
2024-10-11 00:00:00+00:00,20.0,20.0,0
2024-10-12 00:00:00+00:00,20.0,20.0,0
2024-10-13 00:00:00+00:00,20.0,20.0,0
2024-10-14 00:00:00+00:00,20.0,20.0,0
2024-10-15 00:00:00+00:00,20.0,20.0,0
2024-10-16 00:00:00+00:00,20.0,20.0,0
2024-10-17 00:00:00+00:00,20.0,20.0,0
2024-10-18 00:00:00+00:00,20.0,20.0,0
2024-10-19 00:00:00+00:00,20.0,20.0,0
2024-10-20 00:00:00+00:00,20.0,20.0,0
2024-10-21 00:00:00+00:00,20.0,20.0,0
2024-10-22 00:00:00+00:00,20.0,20.0,0
2024-10-23 00:00:00+00:00,20.0,20.0,0
2024-10-24 00:00:00+00:00,20.0,20.0,0
2024-10-25 00:00:00+00:00,20.53486704472728,7.76821096059769,3
2024-10-26 00:00:00+00:00,19.985320397978445,7.76821096059769,3
2024-10-27 00:00:00+00:00,20.14302297646504,7.76821096059769,3
2024-10-28 00:00:00+00:00,20.104132254604156,7.76821096059769,3
2024-10-29 00:00:00+00:00,20.29191593513153,7.76821096059769,3
2024-10-30 00:00:00+00:00,21.121341731528858,7.76821096059769,3
2024-10-31 00:00:00+00:00,21.145048361102063,7.76821096059769,3
2024-11-01 00:00:00+00:00,20.73882251787748,7.76821096059769,3
2024-11-02 00:00:00+00:00,20.741216113262215,7.76821096059769,3
2024-11-03 00:00:00+00:00,20.54937133063143,7.76821096059769,3
2024-11-04 00:00:00+00:00,20.610475383243234,7.76821096059769,3
2024-11-05 00:00:00+00:00,20.3205474527239,7.76821096059769,3
2024-11-06 00:00:00+00:00,20.751805073209944,7.76821096059769,3
2024-11-07 00:00:00+00:00,21.838132280941796,7.76821096059769,3
2024-11-08 00:00:00+00:00,19.683980274063437,11.105013640060395,2
2024-11-09 00:00:00+00:00,19.72396993773141,11.105013640060395,2
2024-11-10 00:00:00+00:00,19.713144014974077,11.105013640060395,2
2024-11-11 00:00:00+00:00,19.950539396028528,11.105013640060395,2
2024-11-12 00:00:00+00:00,20.430528272577302,11.105013640060395,2
2024-11-13 00:00:00+00:00,20.432239083910062,11.105013640060395,2
